"sepal length","iris class"
6.5,Iris-virginica
5.9,Iris-versicolor
5.8,Iris-versicolor
5,Iris-versicolor
7.1,Iris-virginica
5.7,Iris-versicolor
6,Iris-versicolor
5.6,Iris-virginica
6.9,Iris-virginica
7.2,Iris-virginica
7.2,Iris-virginica
5.4,Iris-versicolor
6.5,Iris-virginica
6.4,Iris-virginica
7.7,Iris-virginica
6.4,Iris-virginica
7,Iris-versicolor
6,Iris-virginica
6.3,Iris-virginica
5.6,Iris-versicolor
7.9,Iris-virginica
6.3,Iris-virginica
7.7,Iris-virginica
6.6,Iris-versicolor
6.3,Iris-virginica
5.6,Iris-versicolor
6.2,Iris-versicolor
5.8,Iris-virginica
6,Iris-versicolor
6.3,Iris-versicolor
6.9,Iris-virginica
6.6,Iris-versicolor
6.2,Iris-virginica
7.7,Iris-virginica
6.7,Iris-versicolor
6.7,Iris-virginica
5.1,Iris-versicolor
5.8,Iris-virginica
6.1,Iris-virginica
7.6,Iris-virginica
6.8,Iris-versicolor
6.4,Iris-versicolor
6.8,Iris-virginica
6.1,Iris-versicolor
6,Iris-versicolor
6.3,Iris-versicolor
5.8,Iris-versicolor
5.8,Iris-virginica
6.7,Iris-virginica
5.7,Iris-versicolor
