"sepal length","petal width","iris class"
6.5,1.8,Iris-virginica
5.9,1.5,Iris-versicolor
5.8,1,Iris-versicolor
5,1,Iris-versicolor
7.1,2.1,Iris-virginica
5.7,1.3,Iris-versicolor
6,1.6,Iris-versicolor
5.6,2,Iris-virginica
6.9,2.1,Iris-virginica
7.2,2.5,Iris-virginica
7.2,1.6,Iris-virginica
5.4,1.5,Iris-versicolor
6.5,2,Iris-virginica
6.4,2.2,Iris-virginica
7.7,2.3,Iris-virginica
6.4,2.3,Iris-virginica
7,1.4,Iris-versicolor
6,1.8,Iris-virginica
6.3,1.8,Iris-virginica
5.6,1.5,Iris-versicolor
7.9,2,Iris-virginica
6.3,1.8,Iris-virginica
7.7,2,Iris-virginica
6.6,1.4,Iris-versicolor
6.3,1.5,Iris-virginica
5.6,1.3,Iris-versicolor
6.2,1.3,Iris-versicolor
5.8,1.9,Iris-virginica
6,1.6,Iris-versicolor
6.3,1.6,Iris-versicolor
6.9,2.3,Iris-virginica
6.6,1.3,Iris-versicolor
6.2,2.3,Iris-virginica
7.7,2.3,Iris-virginica
6.7,1.4,Iris-versicolor
6.7,2.4,Iris-virginica
5.1,1.1,Iris-versicolor
5.8,1.9,Iris-virginica
6.1,1.8,Iris-virginica
7.6,2.1,Iris-virginica
6.8,1.4,Iris-versicolor
6.4,1.5,Iris-versicolor
6.8,2.1,Iris-virginica
6.1,1.4,Iris-versicolor
6,1.5,Iris-versicolor
6.3,1.5,Iris-versicolor
5.8,1.2,Iris-versicolor
5.8,2.4,Iris-virginica
6.7,2.3,Iris-virginica
5.7,1,Iris-versicolor
